SUPERMERCADO TRADICAO LTDA;;;;;;;;;;;;;;;
CEP 12248440 SAO JOSE DOS CAMPOS - SP;;;;;;;;;;;;;;;
CNPJ: 47.692.182/0001-72;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código Barras;Data Venda;Descrição;Curva;Pedido?;Estoque Atual;Cobertura;Descrição Grupo;Descrição Seção;Descrição SubGrupo;Desc. Fornecedor Pref;Mark-Down;Qtd.Embalagem Compra;Valor Venda;Custo c/Imp;Venda Média
6,06529E+11;29/10/2025;OVOS DA TERRA C/20;A;Não;1;1;OVOS;HORT FRUTI;OVOS C/20;;32,46%;12;15,99;10,8;0,8676
7,8912E+12;25/12/2025;PANETONE PANCO 400G FRUTAS;A;Não;-1;0;INDUSTRIALIZADOS;PADARIA;PANETONE;LUA NOVA IND E COMERCIO DE PROD ALIMENTICIOS LTDA;26,28%;1;18,99;15;1,1818
7,8912E+12;24/12/2025;PANETONE PANCO 400G GOTAS DE CHOC;A;Não;2;2;INDUSTRIALIZADOS;PADARIA;PANETONE;LUA NOVA IND E COMERCIO DE PROD ALIMENTICIOS LTDA;26,28%;1;18,99;15;1,0864
7,89895E+12;20/12/2025;PAO DE HOT DOG REI DOS REIS 400G;A;Não;11;5;INDUSTRIALIZADOS;PADARIA;PAO DE HOT DOG;WRJ COMERCIO E DISTRI DE ALIMENTOS EIRELI ME;34,93%;1;9,99;6,82;2,0756
7,8912E+12;23/12/2025;PAO EGG ESPONGE PANCO 250G;A;Não;5;6;INDUSTRIALIZADOS;PADARIA;PAO EGG;LUA NOVA IND E COMERCIO DE PROD ALIMENTICIOS LTDA;30,24%;1;13,99;10,15;0,87
7,8912E+12;23/12/2025;PAO INT PANCO 500G (VERDE);A;Não;12;11;INDUSTRIALIZADOS;PADARIA;PAO INTEGRAL;LUA NOVA IND E COMERCIO DE PROD ALIMENTICIOS LTDA;26,63%;1;9,99;7,58;1,1
7,8912E+12;22/12/2025;PAO SOVADO PANCO 500G;A;Não;2;2;INDUSTRIALIZADOS;PADARIA;PAO SOVADO;LUA NOVA IND E COMERCIO DE PROD ALIMENTICIOS LTDA;28,95%;1;14,99;11,05;1,0375
7,89117E+12;24/12/2025;PAPEL HIG FD NEVE C16 30MT TOQUE DE SEDA;A;Não;0;0;HIGIENE CORPORAL;PERFUMARIA E HIGIENE;PAPEL HIGIENICO;DESTRO BRASIL DISTRIBUICAO LTDA;31,55%;4;36,99;25,32;0,3158
7030;22/12/2025;PDR (REVENDA) BOLO MILHO C/ COCO (MATHEUS);A;Não;8;13;INDUSTRIALIZADOS;PADARIA;BOLOS (REVENDA);DARA DE SOUZA 45634883806;23,77%;1;20,99;16,46;0,6167
8198;26/12/2025;PDR PAO DOCE ROSCA C/ COCO;A;Não;-197,8;0;PRODUÇÃO PRÓPRIA;PADARIA;PAES DOCE;SUPERMERCADO TRADICAO LTDA;46,43%;1;21,99;15,12;1,228
8556;25/12/2025;PDR SALG ASSADO PAO DE FRIOS KG;A;Não;0;0;PRODUÇÃO PRÓPRIA;PADARIA;PAES SALGADO;SUPERMERCADO TRADICAO LTDA;80,15%;1;25,99;9,92;1,1886
7,89685E+12;26/12/2025;REFRI CAMPEAO 2L GUARANA;A;Não;14;4;REFRIGERANTES;BEBIDAS NÃO ALCOOLICAS;PET 2LT;G S COMERCIO DE BEBIDAS EIRELI;28,55%;6;5,99;4,28;3,9917
7,8949E+12;26/12/2025;REFRI FANTA PET 2L UVA;A;Sim;-19;0;REFRIGERANTES;BEBIDAS NÃO ALCOOLICAS;PET 2LT;SPAL INDUSTRIA BRASILEIRA DE BEBIDAS S/A;26,33%;6;9,99;7,36;5,7265
7,8949E+12;25/12/2025;REFRI KIT COCA COLA2LT + FANTA GUAR2LT;A;Sim;17;6;REFRIGERANTES;BEBIDAS NÃO ALCOOLICAS;PET 2LT;SPAL INDUSTRIA BRASILEIRA DE BEBIDAS S/A;18,79%;2;17,99;14,61;3
7,8949E+12;24/12/2025;REFRI KIT COCA COLA2LT + SPRITE2LT;A;Sim;3;1;REFRIGERANTES;BEBIDAS NÃO ALCOOLICAS;PET 2LT;SPAL INDUSTRIA BRASILEIRA DE BEBIDAS S/A;20,07%;2;17,99;14,38;3,8854
7,89284E+12;24/12/2025;REFRI PEPSI PET 2L TWIST;A;Sim;1;1;REFRIGERANTES;BEBIDAS NÃO ALCOOLICAS;PET 2LT;AMBEV S.A. CDD SAO JOSE DOS CAMPOS;24,02%;1;9,99;7,59;1,4333
7,89115E+12;09/12/2025;SABAO EM PO BRILHANTE CX 800G CUID TOTAL;A;Não;5;3;PRODUTOS PARA ROUPA;LIMPEZA;SABAO EM PO/LIQUIDO;DESTRO BRASIL DISTRIBUICAO LTDA;37,53%;20;11,99;7,91;1,4833
7,89284E+12;26/12/2025;SALG ELMA CHIPS CHEETOS 95G LUA PARMS;A;Sim;46;30;SALGADINHOS;MERCEARIA DOCE;MILHO DIVERSOS;PEPSICO DO BRASIL LTDA;26,33%;14;9,99;7,61;1,5583
7,89284E+12;24/12/2025;SALG ELMA CHIPS RUFFLES 115G ORIGINAL;A;Sim;-9;0;SALGADINHOS;MERCEARIA DOCE;BATATA ONDULADA;PEPSICO DO BRASIL LTDA;25,88%;15;14,99;11,47;1,0364
7,89284E+12;23/12/2025;SALG ELMA CHIPS RUFFLES 32G ORIGINAL;A;Não;145;53;SALGADINHOS;MERCEARIA DOCE;BATATA ONDULADA;PEPSICO DO BRASIL LTDA;38,35%;48;3,99;2,6;2,7479
7,89719E+12;22/12/2025;UTL PANELA FRIGIDEIRA MTA CRISTAL PRETO;A;Não;33;75;UTENSILIOS E ITENS PARA CASA;BAZAR E UTILIDADES;UTENSILIOS DIVERSOS;M T A INDUSTRIA E COMERCIO DE ARTEFATOS DE INOX LT;34,14%;144;29,99;23,44;0,4417
7,89836E+12;11/12/2025;VINHO FARONI LOPEZ 750ML TINTO SUAVE;A;Não;0;0;VINHO;BEBIDAS ALCOOLICAS;TINTO SUAVE;ARGOS TRADING IMPORTACAO E EXPORTACAO LTDA;36,60%;12;18,99;14,26;0,6863
